school-eng	address	address-match
117291	2X6MTKCB	byhand
117292	9C3QNTR	byhand
117293	9CPSB9K	byhand
117294	2X6MTGAT	
117295	2X6MZ9CG	byhand
117296	9B1AJVS	
117297	9B09W4W	byhand
117298	5T8JAQW1	
117299	9APZHJM	
117300	9B1AK05	
117301	5T8JAR6K	
117302	4D4Q89	byhand
117303	9B1AHFF	
117304	5T8FR92K	
117305	2X6MT9TB	
117306	5T8FDH1E	
117307	4D5MF5	
117308	2X6MYCN6	byhand
117309	2X6MXNXS	byhand
117310	9B09Q1V	
117311	5T8FR16E	
117312	2X6MTFQ9	byhand
117313	5T8JHC95	byhand
117314	5T8GM5Z0	
117315	2X6MTD7F	
117316	9C3QP5S	byhand
117317	5T8FR163	
117318	2X6MYGZD	byhand
117319	5T8HG06K	
117320	5T8FR3MT	
117321	4D4KHF	
117322	9C3QMJX	
117323	5T8FDH83	
117324	2X6MYGZE	byhand
117325	5T8JHB1W	
117326	4D56ZK	byhand
117327	5T8JAMXC	byhand
117328	2X6MXBM8	byhand
117329	5T8GM5YW	byhand
117330	9C3H4EB	
117331	2X6MXNSX	
117332	2X6MXNAN	
117333	2X6MVAGM	
117334	4D4Q88	byhand
117335	2X6MV52E	
117336	2X6MV5B1	
117337	9ADWWZ9	byhand
117338	4D5CE2	
117339	5T8FR0ZN	
117340	9A2MY90	
117341	2X6MV8D9	
117342	5T8JAR5S	
117343	5T8JQH12	byhand
117344	2X6MV4WB	
117345	2X6MXMC2	byhand
117346	2X6MTKGY	byhand
117347	5T8JAMHS	byhand
117348	2X6MTGVX	byhand
117349	9A2N4RC	
117350	9C3H64A	
117351	4D5QYQ	byhand
117352	9C3QPDM	byhand
117353	4D5BFS	byhand
117354	2X6MXKK5	byhand
117355	2X6MTHMA	byhand
117356	4D59VX	byhand
117357	2X6MTBF0	byhand
117358	2X6MTFBZ	
117359	2X6MV58T	byhand
117360	5T8FR15X	byhand
117361	9B09W62	
117362	5T8JHCD2	byhand
117363	9B09KZQ	byhand
117364	2X6MX9R5	
117365	2X6MVAEA	
117366	4D4MDG	
117367	4D4WFP	
117368	2X6MVA3W	
117369	9AE03PB	
